,Made Donation in March 2007
659,0.241827861319
276,0.24139017765
263,0.189986248539
303,0.209151987582
83,0.236926602591
500,0.241494169688
530,0.189952643
244,0.189934293073
249,0.241494169687
728,0.240925751091
129,0.378235110101
534,0.241454514771
317,0.241827861319
401,0.189986248539
696,0.39217096323
192,0.189944499387
176,0.207251245543
571,0.241827860656
139,0.241494169687
423,0.246577453826
563,0.431389773069
56,0.335348905235
528,0.203875061989
101,0.189986248539
467,0.236640836633
382,0.241494169685
466,0.189924802783
294,0.189934293073
512,0.18994199855
659,0.241827861319
389,0.241494169677
487,0.241494813043
701,0.189955581224
419,0.189907013805
536,0.241385423927
240,0.240871228225
508,0.241454155489
515,0.189934293073
283,0.238106341328
650,0.189986248539
65,0.193373515677
228,0.409868652102
741,0.241493961223
297,0.189941206431
464,0.22577281618
63,0.189955581224
231,0.281652628935
28,0.189890558629
248,0.189934293073
357,0.189922215326
300,0.209160812985
726,0.241117063403
680,0.330823061421
520,0.514289831785
254,0.23988329438
582,0.25937017639
143,0.200552896125
98,0.437010226102
1,0.189951907953
221,0.241494169687
352,0.189986248539
64,0.241494169686
138,0.241494169687
745,0.241494169687
64,0.241494169686
688,0.241036921283
623,0.241150931497
289,0.241494169653
174,0.241494560216
690,0.189986248539
105,0.190016113299
427,0.28277939339
48,0.209125298316
14,0.189986248539
657,0.195115964673
301,0.241385972719
455,0.218395934328
579,0.294367435723
722,0.237433655003
98,0.437010226102
491,0.209125298316
303,0.209151987582
466,0.189924802783
65,0.193373515677
300,0.209160812985
9,0.189999255555
622,0.189944499387
323,0.239396150347
289,0.241494169653
568,0.189930271404
290,0.189986248539
156,0.399391722315
464,0.22577281618
426,0.189953292582
306,0.240695793604
4,0.236924845845
12,0.190029254124
187,0.200564708651
406,0.241386003862
96,0.189952643
509,0.189955581224
733,0.241494147686
548,0.189958632633
478,0.243962408791
501,0.188574903534
127,0.259935296806
199,0.241409939122
299,0.241510775788
162,0.189986248539
235,0.190015374822
23,0.195845861245
473,0.189986248539
487,0.241494813043
683,0.390104397111
303,0.209151987582
309,0.241493886896
569,0.189953144392
34,0.305697590821
686,0.243418724634
84,0.195119500223
733,0.241494147686
537,0.241494169686
181,0.241212558722
453,0.241494169687
67,0.241494169903
161,0.241493960856
307,0.186456802889
703,0.190029729889
181,0.241212558722
246,0.189904248147
316,0.260638312191
278,0.189944499387
346,0.289918405491
545,0.189986248539
419,0.189907013805
694,0.189952643
622,0.189944499387
663,0.189936155759
262,0.242660537006
461,0.241494169686
373,0.241494169687
233,0.189986248539
466,0.189924802783
207,0.200552896125
263,0.189986248539
16,0.189953144392
513,0.206631117919
449,0.188790430643
429,0.233995808321
701,0.189955581224
632,0.241489118926
529,0.241494169687
245,0.241386094715
344,0.24173883957
353,0.281488498099
241,0.241494169687
633,0.190024284517
624,0.189955581224
726,0.241117063403
189,0.189944499387
138,0.241494169687
402,0.189934293073
511,0.225744891287
590,0.241494169687
334,0.241493902476
447,0.233011927827
119,0.189924802783
389,0.241494169677
644,0.189986248539
423,0.246577453826
131,0.189953144392
405,0.209125298316
82,0.189986248539
643,0.241494169687
156,0.399391722315
617,0.189954987231
574,0.225428044609
272,0.241494074749
613,0.221430398966
545,0.189986248539
685,0.189934293073
570,0.208051590465
537,0.241494169686
691,0.190024284517
85,0.240693209478
483,0.189904248147
455,0.218395934328
93,0.189944499387
744,0.189955581224
33,0.189904248147
321,0.241494169687
523,0.258038778891
426,0.189953292582
196,0.241167357737
301,0.241385972719
103,0.190024284517
224,0.189913295782
454,0.241494169605
585,0.18990810873
154,0.23563672257
